time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,VF_command,VF_setpoint,VF_feedback,VF_error,VF_acceleration,VF_integral,VF_unsaturated,VF_outside,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid,compressor_NcMap,compressor_Nc_outside,VR_integrator_error,VR_proportional_term,VR_speed_slope,VR_accel_slope,VR_fallback
0,10000,3,10000,10000,3,3,0,0.00415864642929939,17.832553753545,14,0,27896.538949239,-27896.5140739687,3,1.43256938701881,1.43256938701881,0,0,3,4.43256938701881,1,288.150008033341,99.298846116789,2.39771419059588e-10,1,0.999999986060488,0,0,0,0,0,0
0.015,10000.0000623797,3,10000,10000,3,3,0,0.00407402517510584,17.8325542651488,3,0,27896.5394128019,-27896.5150437001,3,1.43256994084476,1.43256994084476,0,0,1.56743061298119,3.00000055382594,1,288.150008033341,99.298846116789,6.51289202724692e-11,1,0.999999992298457,0,0,0,0,0,0
0.03,10000.0001234901,2.99999958946949,10000,10000.0000161665,2.99999958946949,2.99999958946949,0,0.00376187420706708,17.8325594075877,3,0,27896.5380885995,-27896.5155866531,2.99999958946949,1.43256994084476,1.43256992002503,2.08197330486826e-08,0.000238400811014536,1.56743005915524,3.00000035777156,1,288.150008033341,99.298846116789,1.86420670625053e-10,1,0.999999998409495,0,2.24418275074356e-08,3.57771564551967e-07,0,0,0
0.045,10000.0001799182,2.99999887103129,10000,10000.0000439807,2.99999887103129,2.99999887103129,0,0.00328430480871893,17.832567501929,3,0,27896.535089676,-27896.5154443484,2.99999887103129,1.43256994084476,1.4325698838461,5.69986577936277e-08,0.000595832769084081,1.56742929085316,3.00000020529826,1,288.150008033341,99.298846116789,2.33336509490611e-10,1,1.00000000405231,0,6.10527244315762e-08,9.7360033759486e-07,0,0,0
0.06,10000.0002291828,2.99999794342008,10000,10000.0000792106,2.99999794342008,2.99999794342008,0,0.00269246859289603,17.8325777260086,3,0,27896.5310284073,-27896.5149231945,2.99999794342008,1.43256994084476,1.43256983757915,1.03265611839376e-07,0.000983556663351568,1.5674279565862,2.99999965140125,1,288.150008033341,99.298846116789,2.80705027272097e-10,1,1.00000000897876,0,1.09957750682455e-07,1.75397029984481e-06,0,0,0
0.075,10000.0002695698,2.99999689702204,10000,10000.0001180778,2.99999689702204,2.99999689702204,0,0.00203617804315239,17.8325892420071,3,0,27896.5264008007,-27896.5142212414,2.99999689702204,1.43256994084476,1.4325697860445,1.54800256613186e-07,0.00133915363808078,1.56742624860502,2.99999880475027,1,288.150008033341,99.298846116789,3.10477328816749e-10,1,1.00000001301747,0,1.63911860751043e-07,2.6153004887064e-06,0,0,0
0.09,10000.0003001125,2.99999581147109,10000,10000.0001573388,2.99999581147109,2.99999581147109,0,0.00136382196610703,17.8326011762555,3,0,27896.5215655292,-27896.5134077207,2.99999581147109,1.43256994084476,1.43256973346744,2.07377318650614e-07,0.00162190145638246,1.56742434087679,2.99999776749651,1,288.150008033341,99.298846116789,3.17513360254e-10,1,1.00000001607173,0,2.18412704366955e-07,3.4857749612982e-06,0,0,0
0.105,10000.0003205698,2.9999947538514,10000,10000.0001943404,2.9999947538514,2.9999947538514,0,0.000715717275173033,17.8326127930346,3,0,27896.5168263952,-27896.5125452759,2.9999947538514,1.43256994084476,1.43256968337471,2.5747005105714e-07,0.001808786032212,1.56742238485138,2.99999663228213,1,288.150008033341,99.298846116789,3.05596107244242e-10,1,1.00000001811747,0,2.69776970984736e-07,4.30658599981371e-06,0,0,0
0.12,10000.0003313055,2.99999377736072,10000,10000.0002270543,2.99999377736072,2.99999377736072,0,0.000123420550441869,17.8326235095386,3,0,27896.5124260014,-27896.5116877517,2.99999377736072,1.43256994084476,1.43256963852251,3.02322251899412e-07,0.00189110363218781,1.56742050642064,2.99999547999963,1,288.150008033341,99.298846116789,2.7885375506563e-10,1,1.00000001919104,0,3.15189238930813e-07,5.03273423326789e-06,0,0,0
0.135,10000.0003331569,2.99999292097638,10000,10000.0002540723,2.99999292097638,2.99999292097638,0,-0.00039037364222826,17.8326328993909,3,0,27896.5085438347,-27896.5108788854,2.99999292097638,1.43256994084476,1.43256960088181,3.39962946460659e-07,0.00187121713772066,1.56741880378173,2.99999437755498,1,288.150008033341,99.298846116789,2.41499340257543e-10,1,1.00000001937617,0,3.52694614180749e-07,5.6329284927159e-06,0,0,0
0.15,10000.0003273012,2.99999220995451,10000,10000.0002745681,2.99999220995451,2.99999220995451,0,-0.000811434617644007,17.8326406870221,3,0,27896.5052981284,-27896.5101517884,2.99999220995451,1.43256994084476,1.43256957167062,3.69174136150008e-07,0.00175954819565913,1.56741734720313,2.99999337680657,1,288.150008033341,99.298846116789,1.97507902041527e-10,1,1.00000001879061,0,3.81146011640965e-07,6.08875868586267e-06,0,0,0
0.165,10000.0003151297,2.99999165698318,10000,10000.0002882345,2.99999165698318,2.99999165698318,0,-0.00113321095019253,17.8326467348875,3,0,27896.5027507099,-27896.5095291004,2.99999165698318,1.43256994084476,1.43256955142243,3.89422326385613e-07,0.00157187156041886,1.56741618035107,2.99999251451609,1,288.150008033341,99.298846116789,1.50509693950649e-10,1,1.00000001757346,0,4.00117263099631e-07,6.39332026022288e-06,0,0,0
0.18,10000.0002981316,2.99999126380581,10000,10000.0002952048,2.99999126380581,2.99999126380581,0,-0.00135577294580832,17.8326510255389,3,0,27896.5009140207,-27896.5090236833,2.99999126380581,1.43256994084476,1.4325695400803,4.00764462282766e-07,0.00132696203049779,1.56741532281816,2.99999181312886,1,288.150008033341,99.298846116789,1.03641452698843e-10,1,1.00000001587364,0,4.09793050826224e-07,6.54946594238481e-06,0,0,0
0.195,10000.000277795,2.99999102314047,10000,10000.0002959633,2.99999102314047,2.99999102314047,0,-0.00148458969008507,17.8326536404735,3,0,27896.4997595301,-27896.5086397202,2.99999102314047,1.43256994084476,1.43256953710635,4.03738406706822e-07,0.00104462464953801,1.56741477349511,2.99999128218972,1,288.150008033341,99.298846116789,5.94225015401071e-11,1,1.00000001383998,0,4.10845995002518e-07,6.56784984940373e-06,0,0,0
0.21,10000.0002555261,2.99999092073646,10000,10000.0002912547,2.99999092073646,2.99999092073646,0,-0.00152990900164992,17.8326547061022,2,0,27896.4992242124,-27896.5083754836,2.99999092073646,1.43256994084476,1.43256954159794,3.99246813387322e-07,0.000744119423805268,1.56741451444586,2.99999092019673,1,288.150008033341,99.298846116789,4.02602891507197e-10,1,1.0000000116131,0,4.0430978032191e-07,6.46490611160289e-06,0,0,0
0.225,10000.0002325775,2.99999093743094,10000,10000.0002819952,2.99999093743094,2.99999093743094,0,-0.00150156650391149,17.832654546781,2,0,27896.4992352907,-27896.5082170289,2.99999093743094,1.43256994084476,1.43256955240266,3.88442097154496e-07,0.000442974297648743,1.56741451498559,2.99999071671659,1,288.150008033341,99.298846116789,2.85297214591683e-10,1,1.00000000931824,0,3.91456089765541e-07,6.26088624215981e-06,0,0,0
0.24,10000.000210054,2.99999105116033,10000,10000.000269188,2.99999105116033,2.99999105116033,0,-0.00141562513082014,17.8326533172839,2,0,27896.4996876209,-27896.508155294,2.99999105116033,1.43256994084476,1.43256956822943,3.72615325705539e-07,0.000156125558135435,1.56741473569994,2.99999065453653,1,288.150008033341,99.298846116789,8.83733616655479e-10,1,1.00000000706589,0,3.73677603304756e-07,5.97799183079672e-06,0,0,0
0.255,10000.0001888196,2.99999123843946,10000,10000.0002538627,2.99999123843946,2.99999123843946,0,-0.00128936084816779,17.8326511778971,3,0,27896.5004659093,-27896.5081783227,2.99999123843946,1.43256994084476,1.43256958773079,3.53113968287744e-07,-0.000104405831141847,1.56741513232374,2.99999071219424,1,288.150008033341,99.298846116789,6.30135725225864e-11,1,1.00000000494245,0,3.52403590309081e-07,5.63902574732822e-06,0,0,0
0.27,10000.0001694792,2.99999147610104,10000,10000.000237006,2.99999147610104,2.99999147610104,0,-0.00113273723713658,17.8326485500201,3,0,27896.5014858575,-27896.5082614144,2.99999147610104,1.43256994084476,1.43256960959645,3.31248310114773e-07,-0.000329890952376302,1.56741565856896,2.99999086526904,1,288.150008033341,99.298846116789,7.46539221854242e-11,1,1.00000000300841,0,3.29003729149235e-07,5.2658553311602e-06,0,0,0
0.285,10000.0001524881,2.99999174275069,10000,10000.0002195056,2.99999174275069,2.99999174275069,0,-0.000960520722177261,17.8326456070869,3,0,27896.5026445707,-27896.508390001,2.99999174275069,1.43256994084476,1.43256963263042,3.08214336497414e-07,-0.000514991020104608,1.56741626940095,2.99999108841412,1,288.150008033341,99.298846116789,8.18541370614597e-11,1,1.0000000013093,0,3.04710324972035e-07,4.87816840877286e-06,0,0,0
0.3,10000.0001380803,2.99999201917354,10000,10000.0002021372,2.99999201917354,2.99999201917354,0,-0.000783448848439794,17.8326425515896,3,0,27896.503850478,-27896.5085367389,2.99999201917354,1.43256994084476,1.43256965577299,2.85071765526723e-07,-0.000657200484802784,1.56741692373753,2.99999135776195,1,288.150008033341,99.298846116789,8.41780955430527e-11,1,0.999999999868521,0,2.80600148228061e-07,4.4931796654879e-06,0,0,0
0.315,10000.0001263286,2.99999228913865,10000,10000.000185536,2.99999228913865,2.99999228913865,0,-0.000604778797472172,17.832639503717,3,0,27896.5049952099,-27896.5086127418,2.99999228913865,1.43256994084476,1.43256967814149,2.62703269582332e-07,-0.000756638669412223,1.56741758514912,2.99999165099355,1,288.150008033341,99.298846116789,8.62452929591086e-11,1,0.999999998693348,0,2.57555069493876e-07,4.12499967197277e-06,0,0,0
0.33,10000.0001172569,2.99999253963997,10000,10000.0001701917,2.99999253963997,2.99999253963997,0,-0.000441681985777206,17.832636689005,3,0,27896.5060699222,-27896.5087118777,2.99999253963997,1.43256994084476,1.43256969904113,2.41803624234649e-07,-0.000815547931504212,1.56741822329422,2.99999194865173,1,288.150008033341,99.298846116789,7.84062794292416e-11,1,0.99999999778618,0,2.36254595664676e-07,3.78451275349079e-06,0,0,0
0.345,10000.0001106317,2.99999276036814,10000,10000.000156473,2.99999276036814,2.99999276036814,0,-0.000299969427604766,17.8326342190129,3,0,27896.5070262944,-27896.5088205851,2.99999276036814,1.43256994084476,1.43256971793591,2.22908845826097e-07,-0.000837453825725289,1.56741881428245,2.99999223505793,1,288.150008033341,99.298846116789,6.78964520221956e-11,1,0.999999997123657,0,2.1721076604031e-07,3.47993072047359e-06,0,0,0
